"","title","genre_1","classification_rating","release_year","runtime","vote_average","vote_count_th","budget","revenue_north_america","revenue_worldwide","release_year_US","revenue_opening_weekend"
"1","The Hunger Games: The Ballad of Songbirds & Snakes","action","PG-13",2023,157,7.2,37,100,105.04,191.73,2023-11-19,44.61
"2","Oppenheimer","biography","R",2023,3,8.5,525,100,325.37,950.55,2023-07-23,82.46
"3","The Marvels","action","PG-13",2023,105,6,57,220,77.93,188.2,2023-11-12,46.11
"4","The Creator","action","PG-13",2023,133,6.9,79,80,40.77,104.18,2023-10-01,14.08
"5","Killers of the Flower Moon","crime","R",2023,206,8,97,200,65.98,152.18,2023-10-22,23.25
"6","Trolls Band Together","animation","PG",2023,91,6,5.2,NA,66.72,149.76,2023-11-19,30
"7","Five Nights at Freddy's","horror","PG-13",2023,109,5.5,73,20,136.46,284.34,2023-10-29,80
"8","Blue Beetle","action","PG-13",2023,127,6,72,104,72.49,129.29,2023-08-20,25.03
"9","The Hunger Games","action","PG-13",2012,142,7.2,975,78,408.01,695.22,2012-03-25,152.54
"10","A Haunting in Venice","crime","PG-13",2023,103,6.5,72,60,42.47,122.03,2023-09-17,14.28
"11","Barbie","adventure","PG-13",2023,114,7,393,100,636.19,1441.79,2023-07-23,162.02
"12","Mission: Impossible - Dead Reckoning Part One","action","PG-13",2023,163,7.8,194,291,172.14,567.54,2023-07-16,54.69
"13","Spider-Man: Across the Spider-Verse","animation","PG",2023,140,8.7,304,150,381.31,690.52,2023-06-04,120.66
"14","Elf","adventure","PG",2003,97,7.1,294,33,178.05,227.36,2003-11-09,32.1
"15","The Hunger Games: Catching Fire","action","PG-13",2013,146,7.5,703,130,424.67,865.01,2013-11-24,158.07
"16","Love Actually","comedy","R",2003,135,7.6,511,40,59.7,248.06,2003-11-09,6.89
"17","The Equalizer 3","action","R",2023,109,6.9,71,70,92.37,190.69,2023-09-03,34.6
"18","Sound of Freedom","biography","PG-13",2023,131,7.7,87,14.6,184.18,247.8,2023-07-09,19.68
"19","Harry Potter and the Sorcerer's Stone","adventure","PG",2001,152,7.6,835,125,318.89,1024.26,2001-11-18,90.3
"20","John Wick: Chapter 4","action","R",2023,169,7.7,302,100,187.13,440.15,2023-03-26,73.82
"21","Interstellar","adventure","PG-13",2014,169,8.7,2000,165,188.02,729.06,2014-11-09,47.51
"22","How the Grinch Stole Christmas","comedy","PG",2000,104,6.3,275,123,260.71,345.82,2000-11-19,55.08
"23","The Hunger Games: Mockingjay - Part 2","action","PG-13",2015,137,6.5,358,160,281.72,661.46,2015-11-22,102.67
