release_year,month,genre,average_rating,average_revenue,date_ts
2000,2,comedy,6.4,106.37,2000-02-01
2000,2,drama,6.5,144.06,2000-02-01
2000,2,horror,6,161.83,2000-02-01
2000,3,drama,7.4,256.27,2000-03-01
2000,3,horror,6.6,112.88,2000-03-01
2000,3,thriller,7.1,207.52,2000-03-01
2000,4,war,6.5,127.67,2000-04-01
2000,5,action,8.2,465.36,2000-05-01
2000,5,adventure,6.1,546.39,2000-05-01
2000,5,comedy,6.2,119.75,2000-05-01
2000,5,crime,5.8,173.96,2000-05-01
2000,5,family,6.5,354.25,2000-05-01
2000,6,action,6.27,223.53,2000-06-01
2000,6,animation,6.8,224.83,2000-06-01
2000,6,comedy,6.6,149.27,2000-06-01
2000,6,drama,7.2,215.29,2000-06-01
2000,7,adventure,7,296.34,2000-07-01
2000,7,comedy,6.25,195.97,2000-07-01
2000,7,drama,6.4,291.42,2000-07-01
2000,7,fantasy,5.75,116.82,2000-07-01
2000,8,action,6.15,159.55,2000-08-01
2000,8,horror,6.3,104.16,2000-08-01
2000,9,drama,7.6,123,2000-09-01
2000,10,comedy,6.7,330.44,2000-10-01
2000,10,family,5.5,183.61,2000-10-01
2000,11,action,5.8,264.11,2000-11-01
2000,11,family,6.65,224.56,2000-11-01
2000,11,thriller,7.1,248.12,2000-11-01
2000,12,adventure,7.1,271.54,2000-12-01
2000,12,comedy,6.68,215.83,2000-12-01
2001,1,drama,6.5,131.71,2001-01-01
2001,2,crime,6.8,351.69,2001-02-01
2001,3,action,5.85,147.89,2001-03-01
2001,4,comedy,6.7,281.93,2001-04-01
2001,4,crime,6.3,105.18,2001-04-01
2001,5,adventure,6.65,280.38,2001-05-01
2001,5,animation,7.7,487.85,2001-05-01
2001,5,drama,7.6,179.21,2001-05-01
2001,5,war,6.9,449.22,2001-05-01
2001,6,action,6.6,177.18,2001-06-01
2001,6,adventure,5.9,274.7,2001-06-01
2001,6,animation,7,186.05,2001-06-01
2001,6,comedy,5.3,176.1,2001-06-01
2001,6,drama,7,235.93,2001-06-01
2001,7,action,6.7,113.58,2001-07-01
2001,7,adventure,6.1,368.78,2001-07-01
2001,7,comedy,6.07,140.39,2001-07-01
2001,7,thriller,5.7,362.21,2001-07-01
2001,8,action,6.7,347.33,2001-08-01
2001,8,comedy,6.55,226.44,2001-08-01
2001,8,horror,7.6,209.95,2001-08-01
2001,9,thriller,6.2,100.02,2001-09-01
2001,10,action,7.5,104.88,2001-10-01
2001,11,action,6.9,143.05,2001-11-01
2001,11,adventure,7.9,976.48,2001-11-01
2001,11,animation,7.8,579.71,2001-11-01
2001,11,comedy,6.2,141.07,2001-11-01
2001,12,action,7.4,172.99,2001-12-01
2001,12,adventure,8.4,871.37,2001-12-01
2001,12,drama,7.9,316.8,2001-12-01
2001,12,mystery,6.8,203.39,2001-12-01
2001,12,thriller,7.4,450.72,2001-12-01
2002,2,adventure,6.5,109.86,2002-02-01
2002,2,drama,7.1,102.24,2002-02-01
2002,3,action,7.1,114.66,2002-03-01
2002,3,animation,7.3,383.26,2002-03-01
2002,3,crime,6.8,197.08,2002-03-01
2002,3,fantasy,6.5,155.01,2002-03-01
2002,3,horror,6.6,102.98,2002-03-01
2002,3,science fiction,6.2,123.73,2002-03-01
2002,4,action,5.6,165.33,2002-04-01
2002,4,comedy,6.5,368.74,2002-04-01
2002,4,documentary,6.4,163.33,2002-04-01
2002,4,drama,6.7,129,2002-04-01
2002,5,adventure,6.6,649.4,2002-05-01
2002,5,animation,7.7,122.56,2002-05-01
2002,5,fantasy,7.3,821.71,2002-05-01
2002,5,thriller,6.6,142.26,2002-05-01
2002,6,action,7.4,286.2,2002-06-01
2002,6,animation,7.5,273.14,2002-06-01
2002,6,comedy,5.8,171.27,2002-06-01
2002,6,mystery,6,275.65,2002-06-01
2002,7,action,6.4,445.14,2002-07-01
2002,7,comedy,6,296.94,2002-07-01
2002,7,crime,7.4,181,2002-07-01
2002,7,family,5.7,169.96,2002-07-01
2002,8,action,5.75,198.58,2002-08-01
2002,8,drama,6.7,408.25,2002-08-01
2002,9,comedy,6.4,180.62,2002-09-01
2002,9,drama,8.4,120.07,2002-09-01
2002,9,thriller,5.7,104.39,2002-09-01
2002,10,crime,7,209.2,2002-10-01
2002,10,fantasy,5.9,172.84,2002-10-01
2002,10,horror,6.7,249.35,2002-10-01
2002,11,adventure,7.07,472.75,2002-11-01
2002,11,drama,7.1,242.88,2002-11-01
2002,12,adventure,8.4,926.29,2002-12-01
2002,12,comedy,6.53,220.24,2002-12-01
2002,12,drama,7.37,217.24,2002-12-01
2003,1,action,6.3,101.19,2003-01-01
2003,1,comedy,5.8,101.56,2003-01-01
2003,2,action,6,136,2003-02-01
2003,2,comedy,6.8,177.5,2003-02-01
2003,2,family,5.9,135.68,2003-02-01
2003,2,fantasy,5.3,179.18,2003-02-01
2003,3,adventure,6.3,160.58,2003-03-01
2003,3,comedy,6,132.68,2003-03-01
2003,3,thriller,7.7,156.82,2003-03-01
2003,4,adventure,7,407.71,2003-04-01
2003,4,comedy,6.1,195.75,2003-04-01
2003,5,action,6.8,176.07,2003-05-01
2003,5,adventure,7,738.6,2003-05-01
2003,5,animation,7.8,940.34,2003-05-01
2003,5,comedy,5.9,164.43,2003-05-01
2003,5,fantasy,6.7,484.59,2003-05-01
2003,5,horror,6.2,107.36,2003-05-01
2003,6,action,6,247.76,2003-06-01
2003,6,science fiction,5.5,245.36,2003-06-01
2003,7,action,5.63,264.04,2003-07-01
2003,7,adventure,7.2,464.17,2003-07-01
2003,7,comedy,5.6,124.91,2003-07-01
2003,7,drama,7,148.34,2003-07-01
2003,7,fantasy,5.9,179.27,2003-07-01
2003,8,action,6.1,116.64,2003-08-01
2003,8,comedy,6.35,196.15,2003-08-01
2003,8,horror,6,116.64,2003-08-01
2003,9,comedy,6.5,182.44,2003-09-01
2003,9,drama,7.4,119.72,2003-09-01
2003,10,action,8,180.91,2003-10-01
2003,10,adventure,7.3,250.4,2003-10-01
2003,10,comedy,6.57,192.29,2003-10-01
2003,11,adventure,6.9,318.5,2003-11-01
2003,11,comedy,5.3,133.8,2003-11-01
2003,11,horror,6.1,141.59,2003-11-01
2003,11,thriller,5.6,182.29,2003-11-01
2003,12,adventure,7.83,454.7,2003-12-01
2003,12,comedy,6.3,190.21,2003-12-01
2003,12,drama,7.03,298.83,2003-12-01
2004,1,comedy,6,178.31,2004-01-01
2004,2,comedy,6.8,196.48,2004-02-01
2004,2,drama,7.5,611.9,2004-02-01
2004,2,western,6.8,108.1,2004-02-01
2004,3,comedy,5.8,170.27,2004-03-01
2004,3,horror,7,102.28,2004-03-01
2004,3,mystery,6,181.47,2004-03-01
2004,4,action,7.65,141.22,2004-04-01
2004,4,animation,6,145.36,2004-04-01
2004,4,comedy,7.2,130.13,2004-04-01
2004,5,action,6.5,552.64,2004-05-01
2004,5,adventure,7.55,643.6,2004-05-01
2004,5,animation,7.2,928.76,2004-05-01
2004,5,horror,6.3,300.26,2004-05-01
2004,6,action,6.9,452.38,2004-06-01
2004,6,animation,5.7,200.8,2004-06-01
2004,6,comedy,6.55,150.56,2004-06-01
2004,6,documentary,7.1,222.45,2004-06-01
2004,6,romance,7.9,115.6,2004-06-01
2004,7,action,7.1,317.86,2004-07-01
2004,7,adventure,6.3,203.57,2004-07-01
2004,7,drama,6.4,256.7,2004-07-01
2004,8,adventure,5.9,177.43,2004-08-01
2004,8,comedy,6.7,134.73,2004-08-01
2004,8,drama,7.2,217.76,2004-08-01
2004,9,animation,6,367.28,2004-09-01
2004,9,horror,6.3,129.39,2004-09-01
2004,9,thriller,5.9,117.59,2004-09-01
2004,10,action,7.7,631.44,2004-10-01
2004,10,comedy,7.1,109.5,2004-10-01
2004,10,drama,7.03,137.21,2004-10-01
2004,10,horror,6.65,143.69,2004-10-01
2004,11,adventure,6.6,347.51,2004-11-01
2004,11,animation,6.7,310.63,2004-11-01
2004,11,comedy,6.2,262.5,2004-11-01
