"","title","vote_average","vote_count","release_date","revenue","runtime","adult","budget","popularity","genre","prod_company","release_year"
"1","Inception",8.4,34495,2010-07-15,825.53,148,FALSE,160,83.95,"action","legendary pictures",2010
"2","Interstellar",8.4,32571,2014-11-05,701.73,169,FALSE,165,140.24,"adventure","legendary pictures",2014
"3","The Dark Knight",8.5,30619,2008-07-16,1004.56,152,FALSE,185,130.64,"drama","dc comics",2008
"4","Avatar",7.6,29815,2009-12-15,2923.71,162,FALSE,237,79.93,"action","dune entertainment",2009
"5","The Avengers",7.7,29166,2012-04-25,1518.82,143,FALSE,220,98.08,"science fiction","marvel studios",2012
"6","Deadpool",7.6,28894,2016-02-09,783.1,108,FALSE,58,72.74,"action","20th century fox",2016
"7","Avengers: Infinity War",8.3,27713,2018-04-25,2052.42,149,FALSE,300,154.34,"adventure","marvel studios",2018
"8","Guardians of the Galaxy",7.9,26638,2014-07-30,772.78,121,FALSE,170,33.26,"action","marvel studios",2014
"9","Harry Potter and the Philosopher's Stone",7.9,25379,2001-11-16,976.48,152,FALSE,125,185.48,"adventure","warner bros. pictures",2001
"10","Iron Man",7.6,24874,2008-04-30,585.17,126,FALSE,140,72.9,"action","marvel studios",2008
"11","Django Unchained",8.2,24672,2012-12-25,425.37,165,FALSE,100,54.22,"drama","the weinstein company",2012
"12","Avengers: Endgame",8.3,23857,2019-04-24,2800,181,FALSE,356,91.76,"adventure","marvel studios",2019
"13","Joker",8.2,23425,2019-10-01,1074.46,122,FALSE,55,54.52,"crime","warner bros. pictures",2019
"14","The Lord of the Rings: The Fellowship of the Ring",8.4,23323,2001-12-18,871.37,179,FALSE,93,87.04,"adventure","new line cinema",2001
"15","The Lord of the Rings: The Return of the King",8.5,22334,2003-12-01,1118.89,201,FALSE,94,99.28,"adventure","new line cinema",2003
"16","Shutter Island",8.2,22318,2010-02-14,294.8,138,FALSE,80,56.59,"drama","phoenix pictures",2010
"17","The Wolf of Wall Street",8,22222,2013-12-25,392,180,FALSE,100,97.44,"crime","emjag productions",2013
"18","Avengers: Age of Ultron",7.3,21754,2015-04-22,1405.4,141,FALSE,365,96.56,"action","marvel studios",2015
"19","Captain America: Civil War",7.4,21541,2016-04-27,1155.05,147,FALSE,250,70.74,"adventure","marvel studios",2016
"20","The Dark Knight Rises",7.8,21335,2012-07-17,1081.04,165,FALSE,250,76.91,"action","syncopy",2012
"21","Iron Man 3",6.9,21064,2013-04-18,1215.58,130,FALSE,200,61.06,"action","marvel studios",2013
"22","Black Panther",7.4,21053,2018-02-13,1349.93,135,FALSE,200,43.66,"action","marvel studios",2018
"23","Doctor Strange",7.4,20935,2016-10-25,676.34,115,FALSE,180,70.53,"action","marvel studios",2016
"24","Mad Max: Fury Road",7.6,20911,2015-05-13,378.86,121,FALSE,150,78.32,"action","kennedy miller productions",2015
"25","Inglourious Basterds",8.2,20746,2009-08-19,321.46,153,FALSE,70,59.16,"drama","the weinstein company",2009
"26","The Hunger Games",7.2,20636,2012-03-12,694.39,142,FALSE,75,29.58,"science fiction","lionsgate",2012
"27","Spider-Man: Homecoming",7.3,20507,2017-07-05,880.17,133,FALSE,175,65.88,"action","marvel studios",2017
"28","Harry Potter and the Chamber of Secrets",7.7,20390,2002-11-13,876.69,161,FALSE,100,121.7,"adventure","warner bros. pictures",2002
"29","Guardians of the Galaxy Vol. 2",7.6,20353,2017-04-19,863.76,137,FALSE,200,67.55,"science fiction","marvel studios",2017
"30","The Lord of the Rings: The Two Towers",8.4,20274,2002-12-18,926.29,179,FALSE,79,78.73,"adventure","new line cinema",2002
"31","Captain America: The First Avenger",7,20269,2011-07-22,370.57,124,FALSE,140,43.66,"action","marvel studios",2011
"32","Suicide Squad",5.9,20097,2016-08-03,746.85,123,FALSE,175,35.36,"action","dc entertainment",2016
"33","Harry Potter and the Prisoner of Azkaban",8,20038,2004-05-31,789.8,141,FALSE,130,124.39,"adventure","warner bros. pictures",2004
"34","Thor",6.8,20023,2011-04-21,449.33,115,FALSE,150,51.28,"adventure","marvel studios",2011
"35","Iron Man 2",6.8,19756,2010-04-28,623.93,124,FALSE,200,84.44,"adventure","marvel studios",2010
"36","Batman Begins",7.7,19561,2005-06-10,374.22,140,FALSE,150,66.29,"action","warner bros. pictures",2005
"37","Thor: Ragnarok",7.6,19539,2017-10-02,855.3,131,FALSE,180,45.2,"action","marvel studios",2017
"38","Inside Out",7.9,19463,2015-06-09,857.61,95,FALSE,175,107.29,"animation","pixar",2015
"39","Jurassic World",6.7,19414,2015-06-06,1671.54,124,FALSE,150,54.09,"action","amblin entertainment",2015
"40","Harry Potter and the Goblet of Fire",7.8,19287,2005-11-16,895.92,157,FALSE,150,134.28,"adventure","warner bros. pictures",2005
"41","Pirates of the Caribbean: The Curse of the Black Pearl",7.8,19233,2003-07-09,655.01,143,FALSE,140,80.51,"adventure","walt disney pictures",2003
"42","Harry Potter and the Deathly Hallows: Part 2",8.1,19183,2011-07-12,1341.51,130,FALSE,125,110.97,"fantasy","warner bros. pictures",2011
"43","Wonder Woman",7.2,18954,2017-05-30,822.85,141,FALSE,149,54.63,"action","atlas entertainment",2017
"44","Up",7.9,18857,2009-05-28,735.1,96,FALSE,175,90.97,"animation","pixar",2009
"45","Ant-Man",7.1,18730,2015-07-14,519.31,117,FALSE,130,37.69,"science fiction","marvel studios",2015
"46","The Martian",7.7,18525,2015-09-30,630.6,141,FALSE,108,76,"drama","scott free productions",2015
"47","Star Wars: The Force Awakens",7.3,18352,2015-12-15,2068.22,136,FALSE,245,66.77,"adventure","lucasfilm ltd.",2015
"48","Spider-Man: No Way Home",8,18299,2021-12-15,1921.85,148,FALSE,200,186.06,"action","marvel studios",2021
"49","Harry Potter and the Order of the Phoenix",7.7,18177,2007-07-08,938.21,138,FALSE,150,117.17,"adventure","warner bros. pictures",2007
"50","Harry Potter and the Half-Blood Prince",7.7,18127,2009-07-15,933.96,153,FALSE,250,121.74,"adventure","warner bros. pictures",2009
"51","Logan",7.8,18116,2017-02-28,619.02,137,FALSE,97,54.19,"action","hutch parker entertainment",2017
